norm_weight,aux_weight,mean,std
0.01,0.5,0.1525999903678894
0.01,0.75,0.14180000126361847
0.01,1,0.13960000872612
0.01,1.25,0.15599998831748962
0.01,1.5,0.13780000805854797
0.02,0.5,0.14159999787807465
0.02,0.75,0.13079999387264252
0.02,1,0.14259999990463257
0.02,1.25,0.12680000066757202
0.02,1.5,0.13339999318122864
0.05,0.5,0.14500001072883606
0.05,0.75,0.14220000803470612
0.05,1,0.13100001215934753
0.05,1.25,0.13859999179840088
0.05,1.5,0.13359999656677246
0.1,0.5,0.19140000641345978
0.1,0.75,0.1915999948978424
0.1,1,0.17299999296665192
0.1,1.25,0.1687999963760376
0.1,1.5,0.1517999917268753
